writer_id,sample_id,label,path,filename_ok,height,width,min,max,mean,std,ink_density
10,1,genuine,W:\SRH study\Case Study 2\Offline Signature Verification\Datasets\signatures\full_org\original_10_1.png,True,385,534,75,252,234.74448659954277,21.901413940915244,0.04023055596089304
10,10,genuine,W:\SRH study\Case Study 2\Offline Signature Verification\Datasets\signatures\full_org\original_10_10.png,True,414,552,73,252,235.6721233284324,21.86932066169893,0.0404895680179234
10,11,genuine,W:\SRH study\Case Study 2\Offline Signature Verification\Datasets\signatures\full_org\original_10_11.png,True,342,588,56,254,238.35514878466006,21.97355604989604,0.038757608306480486
10,12,genuine,W:\SRH study\Case Study 2\Offline Signature Verification\Datasets\signatures\full_org\original_10_12.png,True,409,546,73,249,233.37663558934952,19.30077795830888,0.033961148875574304
10,13,genuine,W:\SRH study\Case Study 2\Offline Signature Verification\Datasets\signatures\full_org\original_10_13.png,True,384,546,68,251,233.55677178724054,22.549797170646823,0.0482915521978022
10,14,genuine,W:\SRH study\Case Study 2\Offline Signature Verification\Datasets\signatures\full_org\original_10_14.png,True,349,582,69,254,236.63325259208932,22.368448033106674,0.04753886903179433
10,15,genuine,W:\SRH study\Case Study 2\Offline Signature Verification\Datasets\signatures\full_org\original_10_15.png,True,355,576,72,251,232.3584262519562,21.8639252741099,0.04270344287949922
10,16,genuine,W:\SRH study\Case Study 2\Offline Signature Verification\Datasets\signatures\full_org\original_10_16.png,True,367,570,75,252,234.63536975954872,21.647786612688517,0.03974855394617333
10,17,genuine,W:\SRH study\Case Study 2\Offline Signature Verification\Datasets\signatures\full_org\original_10_17.png,True,331,576,82,254,237.7853726082578,21.411533509796918,0.03912806310842565
10,18,genuine,W:\SRH study\Case Study 2\Offline Signature Verification\Datasets\signatures\full_org\original_10_18.png,True,373,582,76,249,233.57258413716224,19.98264655689925,0.03511050919911924
10,19,genuine,W:\SRH study\Case Study 2\Offline Signature Verification\Datasets\signatures\full_org\original_10_19.png,True,415,540,80,251,235.62873717090585,20.371875483646395,0.03539491298527443
